source,target
350,3625
24,552
3780,18
25369,1304
1400,2144
38698,418
3180,1059
2246,1676
16684,4969
7764,44409
10589,4913
11202,28282
4583,66
12346,8776
38,1314
1027,863
766,90
53113,14894
52728,14558
19219,1648
56246,18955
2035,1476
11860,590
222,1181
39120,5581
2703,1619
6036,25935
12134,61
2031,289
7356,3256
1313,333
340,643
6159,1832
4368,1466
32802,21093
42957,7095
8963,6817
13026,45305
326,863
58108,21038
3514,1020
2759,2512
17128,4777
6112,12260
23846,16393
843,1396
4724,3479
27916,2633
8114,2230
14942,10636
50155,11967
1515,7618
14065,5965
38021,65331
2115,729
36236,4700
39993,13136
768,31
47301,9639
2252,26502
14825,14809
24555,60381
2373,663
52262,51694
6865,4947
102,1310
481,386
15397,53502
35237,4422
4340,125
26550,2693
40748,6267
4465,5952
21143,4698
17263,15865
47159,9506
8711,32972
20367,1497
4929,2294
4357,1403
2228,40
7562,9998
12929,4412
1128,965
293,79
11404,28
318,330
14709,780
1533,3714
213,402
1507,723
4382,63
31497,3508
260,3269
71399,5806
5205,1725
12651,4611
9623,650
12650,3892
2696,3505
487,296
98,386
9169,24577
1483,172
1455,589
4274,6946
770,1179
9572,374
645,4988
72603,4282
26806,26804
770,14540
4764,3675
5100,37385
2769,28680
5317,11870
7076,26044
8868,1314
11519,737
4316,34748
59465,23066
117,233
1192,672
51105,50956
932,4785
252,2376
73023,791
69124,55738
3277,2256
312,1262
917,155
7394,41315
7504,198
1059,11549
8496,2043
17770,2902
9412,4160
186,405
4090,4098
1240,10
195,853
5813,39554
21364,12031
3293,4282
2507,71
1596,2454
352,4187
16894,28
5514,7828
12,1311
9651,16832
36120,4633
32898,55781
5750,401
9974,790
13037,5308
48929,48928
1859,1207
7392,33708
3215,0
3264,848
5078,37341
2420,141
645,11536
69252,56583
7421,22380
63758,33059
4005,6171
16248,54263
9412,24592
75085,1749
42500,6931
624,680
14725,14731
23104,3503
4165,1620
10377,48005
6489,136
23673,14548
6731,4416
1494,693
4848,2995
8729,29427
3527,31721
11162,5317
1312,2599
702,991
7181,21005
11574,6559
49022,11075
2739,618
18346,19330
1841,18773
23063,1741
2332,22
16341,1429
24742,1029
4202,552
6636,4358
600,73872
38917,65533
4,736
4931,7630
2285,5673
3154,5098
7377,10881
19013,56332
16250,54322
8717,6521
16287,970
3121,101
8427,1648
7763,6609
1209,2092
6312,28885
1006,447
5795,2226
8616,8701
19018,1398
22078,1641
66850,70713
30803,52190
20559,28527
1102,13743
16947,35684
2605,1029
1818,14108
9768,698
6656,2478
19232,18
4508,19913
1720,8150
688,13419
4438,64
59506,23129
15810,7190
250,316
7407,4093
6669,41811
1025,1173
22131,3893
1431,1511
2023,1004
101,442
362,860
2980,5359
1485,5869
14110,43571
43111,12909
26043,11107
704,4081
8236,763
3945,31930
46965,9397
7371,6952
12622,9306
2478,787
20804,25935
12213,6320
5766,1756
6003,10819
5317,7759
2972,2991
2025,25099
16510,28632
72399,1396
29,1167
18213,1268
5305,10476
46061,8785
5917,3479
15464,850
71389,35
10570,9330
591,185
3429,738
4880,81
32635,3857
65218,37610
19735,11161
10988,1596
3140,3281
388,1755
6332,6336
5911,4363
63001,68385
20459,6968
1258,407
646,5869
1414,586
3657,13860
5831,128
6931,3277
2704,19884
4388,557
3960,18508
71403,2577
57678,20511
24229,3897
55276,63700
1640,6868
1757,3211
34327,5034
8767,2517
55491,17944
10177,546
2607,14517
38224,5240
24997,5952
600,15102
2189,1516
20103,2827
2227,6621
32310,3718
8999,315
5867,109
7981,45
3109,2349
24116,6669
4049,4047
40485,48176
5800,14935
3377,1183
25826,25892
27697,5775
11156,11152
5227,38009
8775,303
1228,652
960,2413
6787,1620
1075,135
13829,722
2146,5832
8740,17071
634,12353
4521,2144
3559,3183
18334,5627
4302,735
1516,1656
1752,1975
2051,408
3899,2640
614,11835
18881,118
2063,1670
20219,25429
1150,9667
550,1
6767,2045
3839,3124
4198,665
11788,693
4089,576
6963,4946
449,1075
2712,6734
17789,19142
7173,5951
5958,446
60028,23975
4300,1779
10064,4170
54035,16005
8797,44201
75,3367
45245,24041
52114,13713
13404,25820
12623,2290
5631,2239
8851,454
30,728
50841,68294
831,6326
4064,4561
24174,135
5961,21940
44205,19449
17743,2435
60778,25294
39387,65686
3806,5839
3023,544
23349,5953
25895,43871
24245,6234
14823,2942
13434,14478
20356,1496
2694,1429
9333,10560
4436,1025
1236,3899
2625,6447
7047,42806
122,50
5951,12795
606,665
4714,23991
17988,17981
31573,20029
6613,10418
21086,10431
167,2792
26681,2281
47154,1014
32284,3716
1314,427
14590,3924
3924,73816
113,1201
25033,1991
607,738
12952,2991
5606,5600
5224,22699
113,4112
2065,7254
3893,9821
6586,8867
143,1124
47754,19172
4031,9491
1379,5177
388,3179
909,443
2735,4228
814,639
473,1320
1103,678
4119,4367
1503,4183
7118,10271
51853,13387
2739,34
642,8015
8097,235
58804,22001
5369,88
1028,5690
763,6349
26841,5627
1572,2118
1526,1519
75,768
23912,791
10363,423
401,1247
59437,1014
71399,10498
825,5278
1835,23907
645,2204
20347,1514
64600,70406
5232,38104
329,825
8788,4090
131,722
57262,20024
4329,300
1432,1207
15880,2239
78,2045
14540,9412
2061,1635
829,69
1299,18410
9136,46638
1725,35309
1189,294
4918,898
55696,18277
2863,1975
8432,5667
8795,8788
3062,2232
24282,2169
2197,17007
910,403
13577,5905
13726,19005
70222,63365
23812,23813
20805,12786
1189,8166
10445,5946
21566,715
145,2385
71079,69245
6853,18
1128,976
8782,19742
106,2556
39151,5606
7643,786
12624,6666
18346,55747
25558,2106
65395,38401
2277,140
6346,851
50061,68110
9091,46588
913,453
789,5344
16199,11206
9738,14963
38225,5240
1462,2643
2964,4333
793,1629
8729,23982
26649,59411
4282,1030
7280,5474
18732,3014
8045,5615
28427,44
1254,1909
30886,26923
8942,5947
19006,790
334,89
4002,722
3924,4503
5977,2470
3220,4416
5241,4169
645,2924
10306,4186
15843,39216
4570,26894
44,21572
32781,18
7171,13040
8191,36302
9406,1628
71382,2528
294,840
67643,47741
279,382
940,703
17725,6175
32665,35331
1239,2228
15667,4956
2063,6864
2915,16197
872,1763
20560,1512
539,8860
71722,71565
1835,73952
634,787
22330,3941
27981,19993
32299,8652
11520,4834
2417,913
3874,3923
8423,7887
5459,7328
11602,4970
19130,780
7086,26115
2729,61
3795,932
23551,1806
2985,11891
38303,10241
43983,7579
4067,420
770,9388
52323,125
8002,9007
2970,2253
24016,11565
5831,2634
71380,6491
10840,7401
4403,63
2421,124
644,780
119,6264
6003,6474
20754,13153
4039,844
1379,10314
9320,1475
492,1617
1699,1029
21598,58434
2682,46
4555,4050
951,44
51999,13579
6017,7513
10736,48622
13525,696
3092,2512
12244,12203
40,793
603,681
61533,69966
2514,792
2867,7983
2939,2803
14730,14727
3168,402
10505,2024
10110,5628
24795,1907
2433,7890
9738,14615
3866,8701
15796,2197
19940,3774
1849,4278
3986,1429
20557,8786
66,4564
685,1323
3502,1439
180,7594
6613,20510
1427,1390
2969,4701
5609,18788
6676,8703
3970,7304
2517,1970
8616,41568
5980,4169
2704,8153
4619,4037
856,122
2148,25767
15102,823
4010,13196
831,10939
5835,5323
8169,433
634,3550
5758,4423
763,665
3835,646
1251,1027
20901,58011
997,2608
13269,1910
954,4530
17294,2694
9569,2865
58491,21662
26966,2066
5888,3867
590,11845
296,4565
2779,2555
34089,20123
5227,4255
3361,18
21093,3868
6495,32783
3515,11243
3591,5869
7963,217
1645,780
784,14752
13914,2373
2419,684
3555,2049
2423,738
4976,1405
481,1147
4415,2786
51,50
7208,3836
4297,549
1304,1182
514,3836
357,1473
414,1036
5425,38757
3432,4596
15662,24909
52253,13942
1299,18440
10385,664
48149,10459
29470,13136
1849,5932
301,4080
11540,46
44,4837
12577,6591
1918,46
8566,12785
3925,5425
4546,18513
4559,2814
282,3321
71738,71675
398,730
763,9130
49585,11500
9054,10794
9007,534
1184,7094
21591,4709
563,5250
6553,14615
3946,12773
728,775
5048,4777
4742,812
18852,2043
410,1210
2056,12315
2037,546
33298,3970
2102,7303
56842,19567
4931,5220
2675,449
4929,2685
746,18
12302,19391
18637,10335
1655,20
6394,40919
6017,4511
4720,3104
3211,136
1448,119
21760,4170
8183,45153
5631,1903
3225,3984
61050,25878
3384,14844
3951,12642
39877,19220
12821,2232
6591,2512
5206,3783
18920,3138
14516,20287
443,350
4179,4127
67110,45052
6996,1694
651,401
55526,17987
7900,7614
1019,2794
3923,7040
212,748
3263,5156
9179,1520
1520,8512
1440,19628
1676,13303
2327,8532
12111,2796
738,4572
883,11281
21,534
6736,1475
3225,2640
19192,1895
13057,13058
1419,19261
3415,12856
140,2237
3901,715
2706,136
19798,57078
1619,4757
5835,39669
8641,5063
8178,1515
663,1012
21938,4969
5617,7208
64466,70393
3262,4342
26856,3564
8471,3827
39354,22886
8986,3984
1042,989
30394,5038
43305,14586
4342,2373
591,60
1190,1403
5608,236
1152,127
2920,1171
2035,40
61031,25814
3278,1179
9118,2757
1907,645
663,3115
440,975
291,307
8791,46123
5972,1178
2471,3555
23863,27
26153,36588
26633,634
33370,9850
2833,3222
7716,1607
242,2115
5114,6905
10333,128
4931,36946
14936,29626
5301,5321
50803,12573
634,38657
4890,1429
821,5831
2855,3007
823,2234
1516,399
20868,3968
326,400
16843,1020
837,1252
23031,24102
2672,702
8296,45341
7793,565
107,721
562,7468
3279,21044
68523,52233
17704,1190
5824,107
24584,20589
11548,4604
4920,22628
58391,21523
79,1748
2133,2290
11637,10395
20207,8729
166,27
1199,104
329,654
6242,776
24349,31794
2367,983
1526,14517
20579,33402
5232,23540
1209,7816
30249,3225
642,2700
1379,1409
12762,3867
5514,250
15203,1756
4113,33960
3946,9504
561,4560
1487,1692
4688,10675
6730,7470
1617,432
3686,957
2103,143
851,2236
42393,41254
2239,26394
2538,2938
4465,1719
19404,12821
1661,125
2706,12263
4501,24107
53254,15071
3703,1521
33797,4080
4716,36292
11983,5227
233,2412
5671,10120
5412,138
10606,18
763,7999
1564,120
195,7698
26260,2379
6613,3684
35353,9702
8716,1606
36866,27574
11,434
16790,1016
25992,61123
11543,49627
8365,274
919,2222
413,2538
705,1752
1459,7301
1604,4338
15370,14886
7529,136
1684,10431
3923,3500
1209,327
23459,9479
400,449
2644,18
4565,1250
10314,2653
1401,3062
37788,19665
2690,1753
2410,21578
13794,3655
19857,1727
5227,38069
1259,27
120,557
13029,1636
4128,2236
31672,42940
1228,1908
1545,4949
2219,6653
6732,9415
2145,74
48,2605
9825,385
6721,41977
686,704
1025,16913
10451,42384
28445,28447
1177,4411
8344,1323
68491,52111
661,0
1491,20332
32326,1177
2066,25406
1684,828
42424,6877
20652,20654
3431,590
10498,1755
10629,9140
3346,785
6960,3138
5598,97
8989,27460
7400,4115
2969,36064
1648,1606
4728,269
983,49
4075,780
2509,27487
33753,4064
9102,1892
8447,426
23328,1777
13261,681
918,3718
9498,1276
645,8623
3092,2214
26677,5309
8785,24577
9114,1749
6786,133
4081,6059
43750,7470
19075,2969
2747,71399
4565,4076
12651,24538
20,364
1621,2060
17911,1400
4053,11516
12934,13344
12796,32767
16250,15529
9169,8280
9382,4559
9763,378
2033,3420
7887,1173
11619,11617
5227,13387
1059,2511
4346,4389
6680,9129
21390,786
11813,826
2680,2656
5382,38662
42588,6960
1544,44
48460,55692
2492,370
17269,7881
944,2234
12501,50706
493,11076
5667,3483
37695,5199
3492,44
2167,1324
349,699
2279,26667
6467,7035
8613,1457
9739,4502
28753,2800
33313,58069
1665,4703
3850,20434
6474,15807
6968,21043
35945,4601
5232,41761
2060,140
9470,9084
71156,69750
237,54
1299,18423
9845,843
71562,71383
11349,42115
4336,1918
10684,445
782,2337
49987,973
41658,780
881,15689
775,575
4160,590
27002,2394
1692,2120
60,717
21044,4053
863,4550
1501,2113
29974,62589
16291,20328
1622,697
738,1390
8569,2556
28219,43861
3274,634
2205,1324
16371,4415
12596,1283
5847,1077
1835,12855
1514,2637
7425,28517
650,699
43872,18346
5478,2164
8576,3297
3924,21969
5614,9525
69957,61463
20090,8753
8775,5869
20821,1553
16144,28312
9150,46656
9331,693
11442,551
11750,556
222,33
9828,418
645,1699
19743,8786
6008,1857
4360,15653
63809,33181
2572,883
2423,849
13665,24990
554,3104
2708,6168
245,550
4716,6808
1847,1780
13345,2821
27211,11503
784,5678
4003,3984
455,93
19465,2440
4095,33904
59564,34635
120,2990
360,312
2291,1460
15101,3415
422,5947
3462,4969
4016,1935
1234,1506
1144,1158
1069,563
2976,1255
2704,22620
6864,957
8942,3352
18291,51492
8791,4090
652,2151
1157,222
2366,3018
1247,107
3861,32682
48916,48917
293,101
6595,1190
8063,2157
2929,2034
616,7281
62023,28380
7412,19350
1914,13387
4219,18
813,15046
10385,14852
763,74218
8292,2066
1596,53101
23129,59505
37,1163
21013,71394
11755,3828
8437,282
22087,8946
2602,1882
19868,12346
3523,31676
2217,27
727,187
7762,4544
53298,38753
1059,7514
5832,1112
4092,8701
15537,3588
68632,52841
146,3250
7630,187
7687,3455
1648,22161
41719,136
4397,4041
1431,6624
1035,17075
44197,7658
2152,4161
71389,671
818,11704
4207,385
13857,3352
4944,1010
6447,125
3533,1678
8778,15798
3517,31603
85,2638
38091,45542
16833,52308
6275,765
956,1206
34,2328
72998,1029
47422,42562
18088,19997
10567,5946
6467,5144
382,359
61587,27200
6470,18507
23007,50959
9505,1756
16858,23009
23608,29458
59493,23112
2161,3966
27330,15380
4633,3361
3830,34
13726,1283
5828,438
1631,2224
3565,391
6584,24593
2507,2033
14513,52645
12942,1346
21311,3417
6504,2638
10510,432
20558,8792
1364,722
18128,1254
19378,128
1365,410
5891,23553
732,398
23295,1776
7960,19310
15805,21114
320,1496
6349,340
29357,8860
6490,15751
142,1863
13515,13514
5103,4696
10620,1429
1405,5836
552,187
26458,2245
3511,3933
1732,10327
3700,48
6960,5905
2804,203
2151,299
1409,1910
3803,71388
10362,5242
29155,2931
3585,0
2704,6168
3992,2152
28776,62189
634,73718
62322,38992
154,1119
3065,22456
29094,62312
31968,4920
52355,14078
3202,9406
32898,3892
3511,14552
2211,5837
10843,1460
2205,3599
25367,60828
1191,1606
622,2218
69448,57938
766,323
1895,2775
6508,41106
72373,1023
1369,197
45961,35689
10630,16739
21089,1539
17759,1201
4919,13037
41866,6682
28361,10436
10060,3281
771,7722
552,6866
17050,4029
1454,18
50,31
3261,7608
15668,7310
1279,7912
5671,639
1541,6534
7407,10311
23901,59969
15752,1180
3184,849
12748,9508
1665,136
10779,6786
14860,42921
48944,67950
5259,85
917,9
3847,7592
6173,656
3949,10106
103,2902
5222,37885
14967,794
51398,15039
12368,1392
4257,1228
29752,3092
744,90
2820,17132
2920,3593
546,33
9167,8287
24309,36527
1530,12350
26339,1401
19946,18
4397,33603
17219,4278
6730,1179
629,611
1789,1816
357,72
54328,16261
254,726
4958,36974
7408,693
500,31
732,681
19743,18261
34205,4423
8493,283
143,854
5941,4046
8164,3280
5248,5280
3151,681
57017,19743
22838,23977
19756,14476
53947,53943
4302,2063
5810,7210
4920,36771
22753,16325
18139,51773
2115,210
53530,15450
6767,6764
11457,1185
303,3899
35360,5513
2546,2972
17885,4768
6725,1318
47854,10257
59063,22471
951,3984
141,0
6000,18350
5241,1677
2795,728
7817,19299
3030,7788
58206,21197
658,3386
43747,34832
279,8136
651,2512
12811,20480
5182,4048
4671,19790
58947,22326
8715,136
4940,374
443,2965
4375,1301
2140,9776
2501,27469
1264,5444
56734,19412
6934,7856
27217,2437
1103,2455
715,1163
5224,4486
492,1350
15076,1576
13030,1865
10802,650
82,1749
391,222
9462,83
1617,5474
2969,13910
1293,1003
29186,1224
5782,686
2651,1021
645,2161
30176,55803
5745,104
7077,8096
523,2115
12785,136
2479,12083
33589,4034
10683,445
4739,1561
650,679
27049,5679
2025,6628
11891,9168
21753,58607
6016,15874
22,34
3375,16279
45490,38955
983,726
1396,4321
4302,3973
15109,4114
23176,1719
2342,1312
302,115
10854,1756
32248,10064
107,103
1407,6872
58,210
3880,3882
8785,19047
29319,6562
824,2961
4373,1181
1288,66
62,1749
2338,1975
3276,3445
403,957
1305,737
27561,61695
7191,13040
5993,15661
1180,17527
23025,24080
546,1642
3879,3882
3998,11093
10559,13036
279,27
827,4274
13050,20529
923,12465
3666,7242
10002,4969
180,879
53455,15341
14428,12307
346,141
4807,888
22620,2704
26006,2178
30151,3206
16953,30178
11184,49155
4282,3410
8269,1532
6491,6493
70468,65083
132,418
445,235
8058,9136
21923,6814
3878,6482
2128,25670
18836,6318
1126,404
1691,723
20434,8771
26510,2252
4003,668
725,974
33624,4040
1516,4603
3717,3723
13960,8217
2032,1910
576,63
1299,18394
1225,1268
22689,1669
19519,10413
12763,11225
3586,29527
20418,8784
4039,33606
5658,5588
13088,14881
2704,1412
3510,14580
8168,1621
4607,24251
13680,3428
8633,1157
651,51
20562,20570
19995,6623
1189,829
44063,17916
16288,54341
5232,4415
18277,55693
26128,39724
9715,999
8871,1636
10651,10645
1761,1075
7572,11303
3488,850
16373,54419
3120,794
1509,3886
2205,26170
23630,1814
8161,45069
1455,6501
3751,376
21611,4265
639,879
8061,5957
2607,20761
8061,1813
13569,1558
1596,5174
5311,1551
60962,60960
2062,2051
6587,3510
64291,70361
1490,28
645,8
561,1676
38513,20551
2744,4368
686,1346
7386,136
726,453
6467,3666
69728,59762
5267,5317
18373,55806
1396,8161
12269,4327
442,970
12786,4124
70310,63966
13394,22689
14849,11161
2162,4170
17286,10702
1267,12
2167,8292
4724,61
49808,11699
15941,3143
49608,11519
1844,10311
7253,7301
10410,3069
30034,30035
16348,14493
399,433
2602,1749
8045,4322
8024,223
831,2463
847,6144
5673,39283
1735,3875
610,138
2117,140
5791,39505
6509,13387
887,11
6805,3114
1129,546
71399,15184
27238,2444
12263,1370
1813,23580
1190,3374
25467,4415
770,346
12578,4451
1527,10760
23737,14122
6990,7301
41668,31923
12346,15787
19805,4511
4438,2899
14568,4170
6895,30710
13920,13687
3883,26596
14844,1398
110,72
13212,1401
59828,23676
4613,3924
57134,69346
6829,5412
5934,2678
120,3459
750,586
2895,8343
5323,16591
9745,737
6368,3106
33625,4040
4081,2896
839,15317
30,2759
1379,642
34546,25351
191,737
10521,1908
11790,18088
6555,3462
645,6070
1903,2189
5300,1892
19524,1437
128,6552
198,77
13451,10597
2704,546
1764,2222
4032,729
7163,3797
8164,3685
4566,4850
1529,640
4199,6523
7619,3284
26424,61312
2291,1552
5830,5834
50024,50023
14459,1255
6017,32979
2634,6420
14640,773
405,426
2120,1619
1529,659
9178,4931
13852,7484
386,71
15766,6583
1532,7035
634,25391
7792,7104
3885,6454
7313,6594
7047,42816
13726,1621
1209,411
2123,5951
1353,18704
2401,1033
24206,14602
7730,44362
1182,2318
1059,2970
7387,1011
620,779
1649,10514
16169,3410
3865,28
3137,698
9166,4327
11330,6950
28326,62003
6171,1392
357,445
2694,972
4149,728
8129,236
415,2050
34,447
2647,28071
4203,1258
53365,15205
212,7885
19050,1399
1738,1177
72451,75397
1707,3085
3138,12823
4269,1676
1243,2487
34,582
9555,3186
75736,75335
1144,332
2804,11831
1390,4039
5624,830
3924,3391
4914,2991
3766,71402
9776,7104
4009,395
27441,5488
17200,8712
18361,6509
4782,5818
689,74
1641,4454
28020,46504
3920,3865
342,2281
181,575
73,5
1239,14629
33367,63865
1111,1172
46604,67415
8531,2045
12624,3783
7325,639
12546,14890
6613,26046
7633,19327
15623,15634
3583,2497
3167,3451
1191,1617
5199,932
79,5061
4037,1697
2075,790
8100,235
55556,18037
1731,6594
8324,4753
27765,5370
20565,6654
63515,63519
2096,1273
6401,696
7609,2800
41525,6597
999,3062
2969,4929
2155,20
4722,401
3703,1429
11256,49392
1181,1184
6269,1129
10869,1882
6669,12917
23036,7394
3306,18
180,2435
1471,551
10646,10648
942,2115
947,281
10637,10643
23289,143
1184,2032
2704,1860
10598,1753
2287,1206
24566,24555
9062,1440
71399,3599
4220,5550
7120,2690
65430,38528
35510,4487
10420,8726
26533,2254
2028,850
751,44
843,1472
1554,436
3052,779
3683,13
2322,2863
14552,52713
2063,3257
3515,16956
4717,17681
5865,32594
766,459
2373,2381
58885,22222
26751,7632
3897,3520
4832,26640
2488,2056
9178,7921
4216,3972
7998,38721
12712,645
7932,2061
18182,2424
35092,790
14164,751
5728,103
6372,15805
8975,1753
22833,14534
669,4322
47213,35111
1462,786
17324,19561
2051,25273
1469,3264
645,1321
8029,1460
1209,5232
6008,33853
4511,20072
30934,3417
964,105
7666,1753
423,720
1083,113
1735,426
735,135
6669,41805
2092,125
1382,1296
297,3306
426,2507
2197,2161
32845,10434
2288,7928
994,4040
8693,6372
47213,46443
7987,222
552,6176
14389,839
1481,4619
10377,5142
5798,8846
3582,860
21616,4484
7143,20143
69973,61555
10113,6605
7122,140
19556,33781
332,9188
3706,453
26200,2215
19746,33215
12496,4329
5232,38147
1658,104
281,2025
5534,165
8680,2652
1840,23978
2051,1272
64986,36904
447,2961
3225,4168
847,225
12931,7644
55627,34719
39801,13777
12615,11523
12981,51487
2256,55
4296,4081
15801,3866
2303,2871
319,1256
4705,2511
6740,6669
73350,725
1443,3285
531,2279
9628,3594
10327,3994
2225,10314
5065,418
5267,38350
31276,3479
1621,4931
1518,29588
1806,92
27055,7872
1695,10701
4913,2992
18513,7758
403,404
18655,16892
3972,6166
11756,44
4423,3718
576,2059
2162,25879
223,402
12299,1035
17948,13293
5882,8171
1885,805
763,3497
19569,7095
43583,12199
5791,5063
70793,67422
60533,60534
3816,563
49728,11597
2047,1635
1617,1191
1532,3281
7140,29
6474,3860
1898,12388
